date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:46:18	67/67	---M--	200	added ('OK')	text/plain	etag:%22689e7adc-43%22	https://tanzanite.xyz/robots.txt		(from )
11:46:18	946/946	---MCZ	200	added ('OK')	text/html	etag:W/%22689e7ae7-3b2%22	https://tanzanite.xyz/	C:/Users/kowsh/codestills/streax-site/streax/tanzanite.xyz/index.html	(from )
11:46:19	15406/15406	---M--	200	added ('OK')	image/x-icon	etag:%22689e7adc-3c2e%22	https://tanzanite.xyz/favicon.ico	C:/Users/kowsh/codestills/streax-site/streax/tanzanite.xyz/favicon.ico	(from https://tanzanite.xyz/)
11:46:19	11817/11817	---M--	200	added ('OK')	image/png	etag:%22689e7adc-2e29%22	https://tanzanite.xyz/apple-touch-icon.png	C:/Users/kowsh/codestills/streax-site/streax/tanzanite.xyz/apple-touch-icon.png	(from https://tanzanite.xyz/)
11:46:19	946/946	---MCZ	200	added ('OK')	text/html	etag:W/%22689e7ae7-3b2%22	https://tanzanite.xyz/manifest.json	C:/Users/kowsh/codestills/streax-site/streax/tanzanite.xyz/manifest.html	(from https://tanzanite.xyz/)
11:46:20	112105/112105	---M--	200	added ('OK')	text/css	etag:%22689e7ae7-1b5e9%22	https://tanzanite.xyz/static/css/main.95667a1b.css	C:/Users/kowsh/codestills/streax-site/streax/tanzanite.xyz/static/css/main.95667a1b.css	(from https://tanzanite.xyz/)
11:46:20	1520670/1520670	---M--	200	added ('OK')	application/javascript	etag:%22689e7ae7-17341e%22	https://tanzanite.xyz/static/js/main.12794dac.js	C:/Users/kowsh/codestills/streax-site/streax/tanzanite.xyz/static/js/main.12794dac.js	(from https://tanzanite.xyz/)
11:46:21	7489/7489	---M-Z	200	added ('OK')	text/css	date:Tue,%2025%20Nov%202025%2006:16:21%20GMT	https://use.typekit.net/hty3leq.css	C:/Users/kowsh/codestills/streax-site/streax/use.typekit.net/hty3leq.css	(from https://tanzanite.xyz/static/css/main.95667a1b.css)
11:46:21	5/5	---M--	200	added ('OK')	text/css	etag:%226780875c-5%22	https://p.typekit.net/p.css?s=1&k=hty3leq&ht=tk&f=47848.47849.47850.47851.47852.47853.47854.47855.47856.47857&a=3427666&app=typekit&e=css	C:/Users/kowsh/codestills/streax-site/streax/p.typekit.net/p358e.css	(from https://use.typekit.net/hty3leq.css)
11:46:23	22008/22008	---M--	200	added ('OK')	application/font-woff2	etag:%2246d264d61e7f0e82cb2e988fe6d48ecacd0db566%22	https://use.typekit.net/af/933fe3/00000000000000007750847e/30/l?primer=7cdcb44be4a7db8877ffa5c0007b8dd865b3bbc383831fe2ea177f62257a9191&fvd=i1&v=3	C:/Users/kowsh/codestills/streax-site/streax/use.typekit.net/af/933fe3/00000000000000007750847e/30/l885e	(from https://use.typekit.net/hty3leq.css)
